Inventory, Year, CRS WITH, CRS OPP, DISTRESS WITH, DISTRESS OPP, IRI WITH, IRI OPP, RUT WITH, RUT_OPP, FAULT WITH, FAULT OPP, BEG STA, END STA
049  90197 000000,2005,6.9,0,O2Q2S2, ,143,0,0.1,0,0.04,0,0,1.75
049  90197 000000,2007,7,0,O2Q2S2, ,136,0,0.1,0,0,0,0,1.75
049  90197 000000,2009,6.5,0,O2Q2S2, ,164,0,0.2,0,0.03,0,0,1.75
049  90197 000000,2011,5.6,0,L2M1O3Q2S3, ,171,0,0.19,0,0.04,0,0.16,1.81
049  90197 000000,2013,5.6,0,L2M1O3Q2S3, ,165,0,0.24,0,0,0,0,1.81
049  90197 000000,2015,8.8,0, , ,81,0,0.11,0,0,0,0,1.81
049  20352 000000,2017,7.6,0,O2S1, ,91,0,0.12,0,0,0,21.86,23.67
049  20352 000000,2019,7.2,0,O2Q1S2, ,96,0,0.15,0,0,0,21.86,23.67
049  20352 000000,2021,7.7,0,O1Q1S1T1, ,97,0,0.17,0,0,0,21.86,23.67
049  20352 000000,2023,7.5,0,M1O1P3Q2R2, ,105,0,0.17,0,0,0,21.86,23.67
