Inventory, Year, CRS WITH, CRS OPP, DISTRESS WITH, DISTRESS OPP, IRI WITH, IRI OPP, RUT WITH, RUT_OPP, FAULT WITH, FAULT OPP, BEG STA, END STA
100  10057 000000,2000,9,9, , ,115,119,0,0,0.17,0.16,6.22,8.89
100  10057 000000,2002,8.2,6.5,O3,O3,59,68,0.21,0.19,0,0,0,8.89
100  10057 000000,2004,7.4,7.4,O1P2S1,O1P2S1,66,74,0.2,0.19,0,0,0,8.89
100  10057 000000,2006,6.9,6.9,O5P3S1,O5P3S1,70,76,0.19,0.19,0,0,0,8.89
100  10057 000000,2008,6.1,6.1,O3P3Q2S2,O3P3Q2S2,71,69,0.23,0.22,0.02,0.01,0,8.89
100  10057 000000,2010,5.9,5.9,O4P3Q3S2,O4P3Q3S2,77,75,0.11,0.1,0.02,0.01,0,8.89
100  10057 000000,2012,5.2,5.2,O5P4Q3S3,O5P4Q3S3,91,83,0.07,0.08,0.03,0.02,0,8.89
100  10057 000000,2014,5,5.1,O4P3Q3S4U1,O4P3Q3S4U1,99,87,0.14,0.1,0,0,0,8.95
100  10057 000000,2016,9,9,,,50,50,0,0,0,0,0,9.38
100  10057 000000,2018,8.3,8.4,S1,S1,51,44,0.03,0.04,0,0,0,9.56
100  10057 000000,2019,8.3,8.2,S1,S1,47,48,0.05,0.08,0,0,0,9.56
100  10057 000000,2020,8.3,8.2,S1,S1,46,42,0.06,0.08,0,0,0,9.56
100  10057 000000,2021,8.3,8.3,S1,S1,47,45,0.05,0.07,0,0,0,9.56
100  10057 000000,2022,8.3,8.3,S1,S1,47,44,0.06,0.07,0,0,0,9.56
100  10057 000000,2023,8,8,S2,S2,47,47,0.06,0.09,0,0,0,9.56
