Inventory, Year, CRS WITH, CRS OPP, DISTRESS WITH, DISTRESS OPP, IRI WITH, IRI OPP, RUT WITH, RUT_OPP, FAULT WITH, FAULT OPP, BEG STA, END STA
029  20317 000000,2004,7.5,0,O2P2S2, ,69,0,0.09,0,0,9.99,38.06,40.47
029  20317 000000,2006,6.7,0,M1O3Q2S1, ,76,0,0.07,0,0,9.99,38.06,40.47
029  20317 000000,2008,6.5,0,O3P3Q2S2, ,74,0,0.09,0,0.01,9.99,38.06,40.47
029  20317 000000,2010,6.2,0,M2O3S2T1, ,86,0,0.09,0,0.02,0,38.06,40.47
029  20317 000000,2012,5.9,0,M2O3P3S2T3, ,109,0,0.09,0,0.02,0,38.06,40.47
029  20317A000000,2014,4.4,0,L4M3O4P5S4, ,111,0,0.12,0,0,0,21.73,24.14
029  20317A000000,2016,9,0,, ,50,0,0,0,0,0,21.73,24.14
029  20317A000000,2018,7.8,0,O2S1, ,46,0,0.05,0,0,0,21.73,24.14
029  20317A000000,2020,8.2,0,O1S1, ,50,0,0.07,0,0,0,21.73,24.14
029  20317A000000,2022,8.1,0,O1R1S1, ,77,0,0.07,0,0,0,21.73,24.14
029  20317A000000,2023,8.1,0,O1R1S1, ,77,0,0.07,0,0,0,21.73,24.14
