Tire Type	Load	Slip Ratio	N_BUFC	N_TDFCS	N_NSS	N_Rutting
ST	4.0	0.0	23928213515	157592	3065022702	119555
ST	4.5	0.0	16498340195	110157	1522069684	117453
ST	5.0	0.0	11745524788	79328	901950141	115367
ST	5.5	0.0	8590165159	58586	593792602	113297
ST	6.0	0.0	6428484913	44212	419228017	111243
ST	6.5	0.0	4907134672	33996	311109455	109206
ST	7.0	0.0	3811152398	26573	239658999	107185
ST	7.5	0.0	3005312877	21073	190054962	105182
ST	8.0	0.0	2402028519	16928	154256704	103196
ST	8.5	0.0	1943088860	13756	127600698	101228
ST	9.0	0.0	1588913935	11294	107233554	99277
ST	9.5	0.0	1312036807	9361	91331245	97345
ST	4.0	0.02	26743933637	172150	111953100	122900
ST	4.5	0.02	18254002538	119406	95044480	120746
ST	5.0	0.02	12886256147	85432	81656809	118608
ST	5.5	0.02	9357428032	62746	70881076	116486
ST	6.0	0.02	6959970814	47127	62082931	114380
ST	6.5	0.02	5284757034	36088	54808974	112291
ST	7.0	0.02	4085446821	28105	48728282	110219
ST	7.5	0.02	3208457009	22217	43594831	108164
ST	8.0	0.02	2555086005	17796	39222688	106126
ST	8.5	0.02	2060189604	14424	35469256	104107
ST	9.0	0.02	1679745309	11815	32223717	102105
ST	9.5	0.02	1383371348	9772	29398921	100122
ST	4.0	0.04	29987543160	188435	33009803	126372
ST	4.5	0.04	20250239031	129649	30084727	124166
ST	5.0	0.04	14169307659	92137	27527362	121974
ST	5.5	0.04	10212550839	67283	25278913	119799
ST	6.0	0.04	7547696093	50287	23291844	117640
ST	6.5	0.04	5699517300	38343	21527392	115497
ST	7.0	0.04	4384938573	29750	19953697	113371
ST	7.5	0.04	3429108079	23439	18544384	111263
ST	8.0	0.04	2720565523	18720	17277466	109172
ST	8.5	0.04	2186270947	15133	16134500	107100
ST	9.0	0.04	1777179157	12366	15099926	105045
ST	9.5	0.04	1459633987	10206	14160541	103009
ST	4.0	0.06	33739660534	206697	15354713	129980
ST	4.5	0.06	22527795963	141018	14392150	127718
ST	5.0	0.06	15616571559	99514	13516229	125471
ST	5.5	0.06	11167912073	72240	12716918	123241
ST	6.0	0.06	8198969584	53717	11985592	121027
ST	6.5	0.06	6155894391	40778	11314801	118829
ST	7.0	0.06	4712462401	31518	10698084	116648
ST	7.5	0.06	3669111677	24747	10129818	114485
ST	8.0	0.06	2899699059	19705	9605089	112339
ST	8.5	0.06	2322173765	15886	9119588	110212
ST	9.0	0.06	1881800948	12950	8669525	108103
ST	9.5	0.06	1541239741	10664	8251554	106012
ST	4.0	0.07	35836486562	216660	11397354	131836
ST	4.5	0.07	23787020180	147171	10774059	129546
ST	5.0	0.07	16409705875	103480	10199891	127271
ST	5.5	0.07	11687610160	74890	9669852	125013
ST	6.0	0.07	8551025682	55542	9179561	122770
ST	6.5	0.07	6401262168	42068	8725166	120544
ST	7.0	0.07	4887724463	32451	8303267	118335
ST	7.5	0.07	3797009793	25436	7910858	116144
ST	8.0	0.07	2994810239	20222	7545271	113970
ST	8.5	0.07	2394096229	16280	7204131	111814
ST	9.0	0.07	1937006914	13255	6885320	109677
ST	9.5	0.07	1584187175	10903	6586943	107559
DTA	4.0	0.0	4517994621	173250	653084666	201772
DTA	4.5	0.0	2974542634	115907	632050320	171896
DTA	5.0	0.0	2038363171	80480	612002768	147441
DTA	5.5	0.0	1443737746	57632	592881641	127252
DTA	6.0	0.0	1051315879	42360	574631093	110453
DTA	6.5	0.0	783834744	31836	557199420	96374
DTA	7.0	0.0	596407173	24392	540538669	84498
DTA	7.5	0.0	461896693	19006	524604339	74419
DTA	8.0	0.0	363325431	15031	509355090	65818
DTA	8.5	0.0	289748914	12044	494752461	58439
DTA	9.0	0.0	233924092	9765	480760646	52078
DTA	9.5	0.0	190944542	8002	467346267	46571
DTA	4.0	0.02	4690245928	187443	123406540	223022
DTA	4.5	0.02	3076317457	124443	123406540	188859
DTA	5.0	0.02	2101618493	85862	123406540	161117
DTA	5.5	0.02	1484727306	61162	123406540	138375
DTA	6.0	0.02	1078822961	44753	123406540	119573
DTA	6.5	0.02	802851739	33505	123406540	103908
DTA	7.0	0.02	609895855	25585	123406540	90764
DTA	7.5	0.02	471679908	19877	123406540	79664
DTA	8.0	0.02	370561405	15679	123406540	70233
DTA	8.5	0.02	295194419	12534	123406540	62177
DTA	9.0	0.02	238085950	10142	123406540	55259
DTA	9.5	0.02	194169712	8295	123406540	49289
DTA	4.0	0.04	4870807371	203125	9999999848	247756
DTA	4.5	0.04	3182494354	133781	9999999848	208426
DTA	5.0	0.04	2167353279	91703	9999999848	176763
DTA	5.5	0.04	1527185832	64967	9999999848	151007
DTA	6.0	0.04	1107237996	47318	9999999848	129862
DTA	6.5	0.04	822450512	35285	9999999848	112356
DTA	7.0	0.04	623769052	26852	9999999848	97751
DTA	7.5	0.04	481724205	20799	9999999848	85482
DTA	8.0	0.04	377978896	16362	9999999848	75108
DTA	8.5	0.04	300768794	13050	9999999848	66285
DTA	9.0	0.04	242341022	10536	9999999848	58740
DTA	9.5	0.04	197463443	8601	9999999848	52254
DTA	4.0	0.06	5060165605	220485	92800825	276777
DTA	4.5	0.06	3293304213	144013	73040712	231155
DTA	5.0	0.06	2235685287	98050	58923544	194775
DTA	5.5	0.06	1571177066	69074	48497752	165433
DTA	6.0	0.06	1136597252	50070	40585879	141527
DTA	6.5	0.06	842652590	37186	34443897	121870
DTA	7.0	0.06	638040015	28199	29583250	105573
DTA	7.5	0.06	492038005	21774	25672562	91959
DTA	8.0	0.06	385583405	17083	22480742	80508
DTA	8.5	0.06	306475722	13592	19842723	70815
DTA	9.0	0.06	246691830	10951	17638092	62562
DTA	9.5	0.06	200827497	8922	15777372	55496
DTA	4.0	0.07	5158304719	229863	9999999848	293209
DTA	4.5	0.07	3350522530	149498	9999999848	243921
DTA	5.0	0.07	2270863838	101430	9999999848	204820
DTA	5.5	0.07	1593768253	71249	9999999848	173427
DTA	6.0	0.07	1151642759	51521	9999999848	147954
DTA	6.5	0.07	852986850	38184	9999999848	127085
DTA	7.0	0.07	645328946	28904	9999999848	109840
DTA	7.5	0.07	497298686	22284	9999999848	95477
DTA	8.0	0.07	389457563	17459	9999999848	83430
DTA	8.5	0.07	309380078	13874	9999999848	73257
DTA	9.0	0.07	248903945	11165	9999999848	64615
DTA	9.5	0.07	202536458	9088	9999999848	57232
